rank,ps_number,ideas,total,competition,solo,data,clarity,ai,theme,organization,dataset?,title
150,SIH26203,4,5.86,9.43,6,8,0.27,0,Smart Vehicles,AICTE,Y,Student Innovation-Creating intelligent devices to improve commutation sector.
151,SIH26209,5,5.85,9.29,6,8,0.67,0,Space Technology,AICTE,Y,"Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration."
152,SIH26143,12,5.83,8.29,6,5,4.95,2,Disaster Management,National Technical Research Organisation (NTRO),,Leveraging satellite imagery to determine Oil spills at sea along with AIS data correlations to identify vessel responsible for the spill.
153,SIH26200,5,5.83,9.29,6,8,0.39,0,Renewable / Sustainable Energy,AICTE,Y,Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently
154,SIH26071,9,5.82,8.71,6,8,0.59,1,Disaster Management,Ministry of Earth Sciences (MoES),Y,"AI/ML-Based Integrated heavy rainfall Early Warning and Inundation Prediction System using Satellite, Radar, observational Weather and numerical weather prediction model data."
155,SIH26061,6,5.8,9.14,6,8,0.55,0,Clean & Green Technology,Ministry of Earth Sciences (MoES),Y,AI-Driven Smart Energy Management System for Polar Research Stations
156,SIH26194,7,5.77,9.0,6,8,0.68,0,Blockchain & Cybersecurity,AICTE,Y,Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.
157,SIH26192,11,5.74,8.43,5,8,3.56,1,Disaster Management,Ministry of Home Affairs,Y,Flash Flood Prediction System for Hilly Regions using Multi-Source Data Theme
158,SIH26021,10,5.69,8.57,5,8,4.19,0,"Agriculture, FoodTech & Rural Development",Ministry of MSME,Y,Honey Chain: A block chain-based system for honey traceability and smart beekeeping management.
159,SIH26116,0,5.65,10.0,3,5,10,0,Miscellaneous,Autodesk,,"Urban Mixed-Use Design Challenge-Design a centrally located mixed-use building in Autodesk Revit with commercial spaces (Ground + 1st floor) and residential units (up to 8 floors). 1 Level of Basement (Car Parking + EV Charging), Total (B+G+9)(Note: Plot size and all required dimensions may be assumed by students (in mm units)."
160,SIH26117,19,5.58,7.29,5,5,9.95,1,Smart Automation,Mangalore Refinery and Petrochemicals Limited (MRPL),,Sovereign On-Premise Agentic AI Workbench using Open-Weight Multimodal LLMs for Confidential Industrial Work
161,SIH26034,37,5.56,4.71,8,5,10,0,Miscellaneous,"Ministry of Consumer Affairs, Food & Public Distribution",,"Software System to check compliance of Packaged Commodities under Legal Metrology(Packaged Commodities) Rules, 2011 by scanning products, images and labels."
162,SIH26208,12,5.54,8.29,6,8,0.51,0,Toys & Games,AICTE,Y,"Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc."
163,SIH26166,14,5.52,8.0,6,5,5.73,0,Space Technology,Indian Space Research Organisation(ISRO),,"Multi-modal, Sun angle and scale invariant image correspondence using Chandrayaan-2 optical images (OHRC, TMC and IIRS)"
164,SIH26037,14,5.5,8.0,4,5,10,1,Smart Vehicles,MathWorks,,Adaptive Path Planning and Collision Avoidance for Autonomous Vehicles on Unstructured Indian Roads
165,SIH26044,49,5.5,3.0,8,8,10,0,Smart Automation,Ministry of Ayush,Y,"Portal for Academia - Industry collaboration for Skill Mapping, Internships and Placement"
166,SIH26196,13,5.47,8.14,6,8,0.29,0,Fitness & Sports,AICTE,Y,Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.
167,SIH26199,17,5.31,7.57,6,8,0.41,0,Miscellaneous,AICTE,Y,"Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail."
168,SIH26195,19,5.23,7.29,6,8,0.39,0,Clean & Green Technology,AICTE,Y,"Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system."
169,SIH26197,19,5.22,7.29,6,8,0.31,0,Heritage & Culture,AICTE,Y,Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.
170,SIH26193,22,5.12,6.86,6,8,0.57,0,"Agriculture, FoodTech & Rural Development",AICTE,Y,"Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce."
171,SIH26001,65,5.09,0.71,7,8,8.26,5,Disaster Management,Ministry of Development of North Eastern Region (MDoNER),Y,AI-Based early warning and landslide Risk Monitoring System in NER
172,SIH26205,23,5.06,6.71,6,8,0.48,0,Transportation & Logistics,AICTE,Y,"Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure."
173,SIH26202,25,5.0,6.43,6,8,0.73,0,Smart Automation,AICTE,Y,Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.
174,SIH26131,45,4.98,3.57,7,8,4.63,1,"Agriculture, FoodTech & Rural Development",Government Of Maharashtra,Y,Early detection and management of crop diseases and pest infestations
175,SIH26132,39,4.94,4.43,6,8,4.62,1,"Agriculture, FoodTech & Rural Development",Government Of Maharashtra,Y,Strengthening market linkages and price discovery for farmers
176,SIH26047,66,4.77,0.57,8,5,10,3,MedTech / BioTech / HealthTech,Ministry of Ayush,,Patient Case-Taking Software
177,SIH26032,46,4.73,3.43,8,8,0.98,0,Smart Automation,"Ministry of Consumer Affairs, Food & Public Distribution",Y,"Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status."
178,SIH26206,32,4.68,5.43,6,8,0.48,0,Disaster Management,AICTE,Y,"Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster."
179,SIH26198,36,4.53,4.86,6,8,0.67,0,MedTech / BioTech / HealthTech,AICTE,Y,"Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation."
180,SIH26204,36,4.5,4.86,6,8,0.46,0,Travel & Tourism,AICTE,Y,"Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others."
181,SIH26033,41,4.36,4.14,6,8,1.2,0,"Agriculture, FoodTech & Rural Development","Ministry of Consumer Affairs, Food & Public Distribution",Y,Multiple intermediaries reduce farmers earnings and increase consumer prices.
182,SIH26207,49,3.96,3.0,6,8,0.57,0,Smart Education,AICTE,Y,"Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably."
